Date,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-01-31,Incline Machine Press,70,8,,,,,Chest,Delt 2A,
2020-01-31,Incline Machine Press,70,8,,,,,Chest,Delt 2A,
2020-01-31,Incline Machine Press,70,8,Single arm way harder - probably using more chest,,,,Chest,Delt 2A,
2020-01-31,Machine Shoulder Press,50,10,,,,,Shoulders,Delt 2A,
2020-01-31,Machine Shoulder Press,50,10,,,,,Shoulders,Delt 2A,
2020-01-31,Machine Shoulder Press,50,8,First ex - performance slightly down,,,,Shoulders,Delt 2A,
2020-01-31,Single Cable Tricep Pushdown,10,12,,,,,Triceps,Delt 2A,
2020-01-31,Single Cable Tricep Pushdown,10,10,,,,,Triceps,Delt 2A,
2020-01-31,Single Cable Tricep Pushdown,10,10,,,,,Triceps,Delt 2A,
2020-01-31,Single Cable Tricep Pushdown,10,8,,,,,Triceps,Delt 2A,
2020-01-31,Machine Lateral Raise,30,10,,,,,Shoulders,Delt 2A,
2020-01-31,Machine Lateral Raise,30,10,,,,,Shoulders,Delt 2A,
2020-01-31,Machine Lateral Raise,30,10,Tough ending,,,,Shoulders,Delt 2A,
2020-01-31,Pec Fly,60,10,,,,,Chest,Delt 2A,
2020-01-31,Pec Fly,60,10,,,,,Chest,Delt 2A,
2020-01-31,Pec Fly,60,10,,,,,Chest,Delt 2A,
2020-01-31,Cable Kickbacks,10,12,,,,,Triceps,Delt 2A,
2020-01-31,Cable Kickbacks,10,10,,,,,Triceps,Delt 2A,
2020-01-31,Cable Kickbacks,10,8,,,,,Triceps,Delt 2A,
2020-01-30,Hack Squat,140,10,,,,,Legs,Delt 2C,
2020-01-30,Hack Squat,140,10,,,,,Legs,Delt 2C,
2020-01-30,Hack Squat,110,10,,,,,Legs,Delt 2C,
2020-01-30,Hack Squat,110,10,Pause / myo reps,,,,Legs,Delt 2C,
2020-01-30,Leg Extensions,,,,,,,Legs,Delt 2C,
2020-01-30,Leg Extensions,,,,,,,Legs,Delt 2C,
2020-01-30,Leg Extensions,,,,,,,Legs,Delt 2C,
2020-01-30,Seated Leg Curl,105,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Leg Curl,105,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Leg Curl,105,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Leg Curl,105,10,Might use pad to keep low back from doing work,,,,Legs,Delt 2C,
2020-01-30,Standing Calf Raise,90,10,,,,,Legs,Delt 2C,
2020-01-30,Standing Calf Raise,90,8,,,,,Legs,Delt 2C,
2020-01-30,Standing Calf Raise,75,8,,,,,Legs,Delt 2C,
2020-01-30,Standing Calf Raise,75,8,Pause in the stretch way harder,,,,Legs,Delt 2C,
2020-01-30,Seated Calf Raises,45,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Calf Raises,45,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Calf Raises,45,10,,,,,Legs,Delt 2C,
2020-01-30,Seated Calf Raises,45,10,Slow stops,,,,Legs,Delt 2C,
2020-01-29,T-bar Row,45,7,After pullup slow pause hold at top,,,,Back,Delt 2B,
2020-01-29,T-bar Row,45,8,,,,,Back,Delt 2B,
2020-01-29,Assisted Pull Up,-50,10,,,,,Back,Delt 2B,
2020-01-29,Assisted Pull Up,-50,8,Semi failed last rep,,,,Back,Delt 2B,
2020-01-29,Assisted Pull Up,-60,8,Semi fail,,,,Back,Delt 2B,
2020-01-29,Seated Row Closegrip,75,13,,,,,Back,Delt 2B,
2020-01-29,Seated Row Closegrip,75,11,,,,,Back,Delt 2B,
2020-01-29,Seated Row Closegrip,75,12,,,,,Back,Delt 2B,
2020-01-29,Seated Row Closegrip,75,10,Low back pump - need to  evaluate technique,,,,Back,Delt 2B,
2020-01-29,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2B,
2020-01-29,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2B,
2020-01-29,Preacher Curls,35,16,,,,,Biceps,Delt 2B,
2020-01-29,Preacher Curls,35,13,,,,,Biceps,Delt 2B,
2020-01-29,Preacher Curls,35,11,,,,,Biceps,Delt 2B,
